Aari1239,South Omotic,AHK,Aari-Gayil,,,,,,,,,,,,,,
Aari1240,,,,,,,,,,,,,,,,,
Aasa1238,Afro-Asiatic,Cushitic,South Cushitic,Unclassified South Cushitic,,,,,,,,,,,,,
Abad1241,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,Papuan Tip linkage,Peripheral Papuan Tip,Central Papuan,West Central Papuan linkage,,,,,,
Abag1245,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka,Kamano-Yagaria,,,,,,,,,,,,,
Abai1240,Austronesian,Nuclear Austronesian,Malayo-Polynesian,North Bornean Malayo-Polynesian,Southwest Sabahan,Greater Dusunic,Paitanic,,,,,,,,,,
Abai1241,Austronesian,Nuclear Austronesian,Malayo-Polynesian,North Bornean Malayo-Polynesian,Southwest Sabahan,Greater Murutic,Murutic,,,,,,,,,,
Aban1242,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Ekoid-Mbe,Ekoid,Ejagham-Ekajuk,Efutop-Ekajuk,Abanyom-Ekajuk,,,,,,,
Abar1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,,,,,,,,,,,,
Abau1245,Sepik,,,,,,,,,,,,,,,,
Abaz1241,Abkhaz-Adyge,Abkhaz-Abaza,,,,,,,,,,,,,,,
Abee1242,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Agneby,,,,,,,,,,,,
Aben1249,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central Luzon,Sambalic,Abellen-Botolan,,,,,,,,,,,
Abid1235,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Agneby,,,,,,,,,,,,
Abin1243,,,,,,,,,,,,,,,,,
Abip1241,Guaicuruan,Guaicuru del Sur,,,,,,,,,,,,,,,
Abis1238,,,,,,,,,,,,,,,,,
Abkh1244,Abkhaz-Adyge,Abkhaz-Abaza,,,,,,,,,,,,,,,
Abom1238,Tirio,,,,,,,,,,,,,,,,
Abon1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Tivoid,North Tivoid,,,,,,,,,,
Abro1238,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Central Tano,Akanic,,,,,,,,,
Abua1244,Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Central Delta,Abua-Odual,,,,,,,,,,,
Abua1245,Nuclear Torricelli,Arapesh,Mufian-Bukiyip-Abu,Bukiyip-Abu,,,,,,,,,,,,,
Abui1241,Alor-Pantar,Alor,,,,,,,,,,,,,,,
Abun1252,,,,,,,,,,,,,,,,,
Abur1243,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Potou-Tano,Tano,Western Tano,,,,,,,,,,
Abur1244,Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Central Delta,Kugboic,,,,,,,,,,,
Abuu1241,Lower Sepik-Ramu,Agoan,,,,,,,,,,,,,,,
Acat1239,Otomanguean,Western Otomanguean,Tlapanec-Manguean,Subtiaba-Tlapanec,,,,,,,,,,,,,
Acha1249,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,Northern Burmish,High Northern Burmish,,,,,,,,,,,
Acha1250,Arawakan,Northern Maipuran,Inland Northern Maipuran,,,,,,,,,,,,,,
Ache1244,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Ni-Li-Kazhouish,Lisoid,Unclassified Lisoid,,,,,,,,,,
Ache1245,Narrow Talodi,Tochoic,,,,,,,,,,,,,,,
Ache1246,Tupian,Tupi-Guarani,Tupi-Guarani Subgroup I,,,,,,,,,,,,,,
Achi1256,Mayan,Yucatecan-Core Mayan,Core Mayan,Quichean-Mamean,Greater Quichean,Poqom-Quichean,Core Quichean,Quiche-Achi,,,,,,,,,
Achi1257,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Malayo-Sumbawan,North and East Malayo-Sumbawan,Aceh-Chamic,,,,,,,,,,,
Achi1258,,,,,,,,,,,,,,,,,
Acht1238,Indo-European,Germanic,Northwest Germanic,West Germanic,North Sea Germanic,Altsächsisch,Middle-Modern Low German,Low German,,,,,,,,,
Achu1247,Palaihnihan,,,,,,,,,,,,,,,,
Achu1248,Jivaroan,Shuaric,,,,,,,,,,,,,,,
Acol1236,Nilotic,Western Nilotic,Luo-Burun,Southern Lwoo,,,,,,,,,,,,,
Acro1239,Nuclear-Macro-Je,Je,Je Central,,,,,,,,,,,,,,
Adab1235,,,,,,,,,,,,,,,,,
Adai1235,,,,,,,,,,,,,,,,,
Adam1238,Sign Languages,,,,,,,,,,,,,,,,
Adam1253,Atlantic-Congo,North-Central Atlantic,North Atlantic,Peul-Serer,Fula,Fula-Eastern,,,,,,,,,,,
Adan1247,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Ga-Dangme,,,,,,,,,,,,,
Adan1248,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Gbe,Western Gbe,,,,,,,,,,,,
Adan1251,Alor-Pantar,Alor,West Alor,Straits West Alor,Adang-Hamap-Kabola,,,,,,,,,,,,
Adap1234,Sino-Tibetan,Bodic,Bodish,West Bodish,U-Tsang,,,,,,,,,,,,
Adas1235,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Northern Luzon,Cagayan Valley,Ibanagic,,,,,,,,,,,
Adel1244,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Na-Togo,Basila-Adele,,,,,,,,,,,,
Adho1243,Nilotic,Western Nilotic,Luo-Burun,Southern Lwoo,Adhola-Alur-Luo,Adhola-Luo,,,,,,,,,,,
Adio1239,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Agneby,,,,,,,,,,,,
Adiv1239,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Eastern zone,Oriya-Gauda-Kamrupa,Macro-Oriya,,,,,,,,,,,
Adiw1235,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Central zone,Subcontinental Central Indo-Aryan,Bhil,Garasia Bhil,,,,,,,,,,
Adny1235,Pama-Nyungan,Arandic-Thura-Yura,Thura-Yura,Core Thura Yura,Northern Thura-Yura,,,,,,,,,,,,
Adon1237,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Flores-Lembata,Sika-Lamaholot,Lamaholotic,Lamaholot Barat,North Lembata,,,,,,,
Adug1238,Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,Edoid,Northwestern Edoid,,,,,,,,,,,
Adyg1241,Abkhaz-Adyge,Circassian,,,,,,,,,,,,,,,
Adze1240,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Huon Gulf,Markham,Upper Markham,,,,,,
Aeka1244,Nuclear Trans New Guinea,Greater Binanderean,Binanderean,Nuclear Binanderean,South Binandere,Orokaivic,,,,,,,,,,,
Aeky1238,Awin-Pa,,,,,,,,,,,,,,,,
Aerr1238,Indo-European,Indo-Iranian,Indo-Aryan,Indo-Aryan Central zone,Subcontinental Central Indo-Aryan,Gujarati-Rajasthani,Gujaratic,Western Gujaratic,,,,,,,,,
Afad1236,Afro-Asiatic,Chadic,Biu-Mandara,North Biu-Mandara,Musgu-Kotoko,Kotoko-Buduma,Kotoko Septentrional,,,,,,,,,,
Afar1241,Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Saho-Afar,,,,,,,,,,,,
Afgh1239,Sign Languages,,,,,,,,,,,,,,,,
Afit1238,Nyimang,,,,,,,,,,,,,,,,
