aaa,Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,Edoid,North-Central Edoid,Afenmai-Bendel,,,,,,,,,,
aab,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Alumic,Alumu-Toro,Alumu-Akpondu,,,,,,,,,,
aac,Suki-Gogodala,Gogodalic,,,,,,,,,,,,,,,
aad,Sepik,,,,,,,,,,,,,,,,
aae,Indo-European,Albanian,Albanian-Tosk,,,,,,,,,,,,,,
aaf,Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Tamil-Kota,Tamil-Toda,Tamil-Irula,Tamil-Kodagu,Tamil-Malayalam,Malayalamoid,,,,,,,
aag,Nuclear Torricelli,Wapei-Palei,Palai,Nuclear Palai,Yangum-Ambrak,,,,,,,,,,,,
aah,Nuclear Torricelli,Arapesh,Mufian-Bukiyip-Abu,Bukiyip-Abu,,,,,,,,,,,,,
aai,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,Papuan Tip linkage,Nuclear Papuan Tip linkage,North Papuan Mainland-D'Entrecasteaux,Are-Taupota,Areic,,,,,
aak,Angan,Southwest Angan,,,,,,,,,,,,,,,
aal,Afro-Asiatic,Chadic,Biu-Mandara,North Biu-Mandara,Musgu-Kotoko,Kotoko-Buduma,Kotoko Septentrional,,,,,,,,,,
aam,Nilotic,Southern Nilotic,Kalenjin,Okiek-Mosiro,,,,,,,,,,,,,
aan,Tupian,Tupi-Guarani,Tupi-Guarani Subgroup VIII,Guaja-Kaapor-Anambe,Guaja-Anambe,,,,,,,,,,,,
aao,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,North African Arabic,,,,,,,,,,
aap,Cariban,Pekodian,Xinguan,,,,,,,,,,,,,,
aaq,Algic,Algonquian,Eastern Algonquian,,,,,,,,,,,,,,
aar,Afro-Asiatic,Cushitic,East Cushitic,Lowland East Cushitic,Saho-Afar,,,,,,,,,,,,
aas,Afro-Asiatic,Cushitic,South Cushitic,Unclassified South Cushitic,,,,,,,,,,,,,
aat,Indo-European,Albanian,Albanian-Tosk,,,,,,,,,,,,,,
aau,Sepik,,,,,,,,,,,,,,,,
aaw,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,Arawe-Pasismanua,Arawe,West Arawe,,,
aax,Nuclear Trans New Guinea,Central and South New Guinea,Greater Awyu,Awyu-Dumut,Dumut,Mandobo,,,,,,,,,,,
aay,,,,,,,,,,,,,,,,,
aaz,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,West Extra-Ramelaic,Rotinese,Nuclear Rotinese,,,,,,,,
aba,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Agneby,,,,,,,,,,,,
abb,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Bantu A-B10-B20-B30,Basaa (A.40),Abo-Barombi,,,,,,,,
abc,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central Luzon,Sambalic,,,,,,,,,,,,
abd,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Greater Central Philippine,Central Philippine,Alabat-Manide Agta,,,,,,,,,,,
abe,Algic,Algonquian,Eastern Algonquian,,,,,,,,,,,,,,
abf,Austronesian,Nuclear Austronesian,Malayo-Polynesian,North Bornean Malayo-Polynesian,Southwest Sabahan,Greater Dusunic,Paitanic,,,,,,,,,,
abg,Nuclear Trans New Guinea,Kainantu-Goroka,Goroka,Kamano-Yagaria,,,,,,,,,,,,,
abh,Afro-Asiatic,Semitic,West Semitic,Central Semitic,Arabian,Arabic,Eastern Arabic,Afghanistan-Uzbekistan Arabic,,,,,,,,,
abi,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo,Nyo,Agneby,,,,,,,,,,,,
abj,Great Andamanese,South Great Andamanese,,,,,,,,,,,,,,,
abk,Abkhaz-Adyge,Abkhaz-Abaza,,,,,,,,,,,,,,,
abl,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Lampung,,,,,,,,,,,,,
abm,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Ekoid-Mbe,Ekoid,Ejagham-Ekajuk,Efutop-Ekajuk,Abanyom-Ekajuk,,,,,,,
abn,Atlantic-Congo,Volta-Congo,Benue-Congo,Delta Cross,Central Delta,Abua-Odual,,,,,,,,,,,
